[0146.12] Log: Log file open, 06/06/16 00:22:43
[3137.85] Log: [TRICKNAME] 2791.167969 : Show trick name
[3139.85] Log: [TRICKNAME] 2793.199219 : Hide trick name
[3140.27] Log: [TRICKNAME] 2793.621094 : Show trick name
[3141.26] Log: [TRICKNAME] 2794.628906 : Show trick name
[3143.26] Log: [TRICKNAME] 2796.657715 : Hide trick name
[3145.01] Log: [TRICKNAME] 2798.429443 : Show trick name
[3146.01] Log: [TRICKNAME] 2799.441406 : Show trick name
[3148.02] Log: [TRICKNAME] 2801.472412 : Hide trick name
[3228.80] Log: [TRICKNAME] 2883.158447 : Show trick name
[3229.79] Log: [TRICKNAME] 2884.167725 : Show trick name
[3232.96] Log: [TRICKNAME] 2887.359375 : Hide trick name
[3235.63] Log: [TRICKNAME] 2890.070313 : Show trick name
[3236.62] Log: [TRICKNAME] 2891.073730 : Show trick name
[3238.62] Log: [TRICKNAME] 2893.101563 : Hide trick name
[3244.03] Log: [TRICKNAME] 2898.583252 : Show trick name
[3245.03] Log: [TRICKNAME] 2899.591064 : Show trick name
[3246.03] Log: [TRICKNAME] 2900.606689 : Show trick name
[3247.03] Log: [TRICKNAME] 2901.614990 : Show trick name
[3248.03] Log: [TRICKNAME] 2902.636230 : Show trick name
[3249.03] Log: [TRICKNAME] 2903.651855 : Show trick name
[3251.03] Log: [TRICKNAME] 2905.683105 : Hide trick name
[3343.77] Log: [TRICKNAME] 2999.779053 : Show trick name
[3344.76] Log: [TRICKNAME] 3000.786865 : Show trick name
[3346.76] Log: [TRICKNAME] 3002.805664 : Hide trick name
[3351.30] Log: [TRICKNAME] 3007.415039 : Show trick name
[3352.30] Log: [TRICKNAME] 3008.425293 : Show trick name
[3354.31] Log: [TRICKNAME] 3010.458008 : Hide trick name
[3466.06] Log: [TRICKNAME] 3123.687988 : Show trick name
[3467.06] Log: [TRICKNAME] 3124.695801 : Show trick name
[3469.06] Log: [TRICKNAME] 3126.727051 : Hide trick name
[3470.71] Log: [TRICKNAME] 3128.406738 : Show trick name
[3471.70] Log: [TRICKNAME] 3129.414551 : Show trick name
[3473.71] Log: [TRICKNAME] 3131.446289 : Hide trick name
[3479.06] Log: [TRICKNAME] 3136.886475 : Show trick name
[3480.06] Log: [TRICKNAME] 3137.894287 : Show trick name
[3482.06] Log: [TRICKNAME] 3139.925537 : Hide trick name
[3491.91] Log: [TRICKNAME] 3149.913330 : Show trick name
[3492.91] Log: [TRICKNAME] 3150.921143 : Show trick name
[3494.91] Log: [TRICKNAME] 3152.952393 : Hide trick name
[3496.30] Log: [TRICKNAME] 3154.366455 : Show trick name
[3497.29] Log: [TRICKNAME] 3155.375488 : Show trick name
[3499.29] Log: [TRICKNAME] 3157.406738 : Hide trick name
[3502.07] Log: [TRICKNAME] 3160.227051 : Show trick name
[3503.07] Log: [TRICKNAME] 3161.234863 : Show trick name
[3505.07] Log: [TRICKNAME] 3163.248779 : Hide trick name
[3506.04] Log: [TRICKNAME] 3164.237793 : Show trick name
[3507.04] Log: [TRICKNAME] 3165.230469 : Show trick name
[3509.04] Log: [TRICKNAME] 3167.261963 : Hide trick name
[3583.72] Log: [TRICKNAME] 3242.960205 : Show trick name
[3584.72] Log: [TRICKNAME] 3243.968018 : Show trick name
[3586.72] Log: [TRICKNAME] 3245.999268 : Hide trick name
[3588.81] Log: [TRICKNAME] 3248.124756 : Show trick name
[3589.81] Log: [TRICKNAME] 3249.135010 : Show trick name
[3591.81] Log: [TRICKNAME] 3251.165771 : Hide trick name
[3603.97] Log: [TRICKNAME] 3263.505615 : Show trick name
[3604.97] Log: [TRICKNAME] 3264.518799 : Show trick name
[3606.97] Log: [TRICKNAME] 3266.532715 : Hide trick name
[3627.94] Log: [TRICKNAME] 3287.746338 : Show trick name
[3628.94] Log: [TRICKNAME] 3288.747803 : Show trick name
